"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-0.093938796,
"GBR","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.129018134,
"GBR","QGDP","TOT","PC_CHGPP","Q","2023-Q1",0.14462236,
"GBR","QGDP","TOT","PC_CHGPP","Q","2023-Q2",0.204720013,
"EST","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.869806081,
"EST","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.862931047,
"EST","QGDP","TOT","PC_CHGPP","Q","2018-Q4",1.107363554,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.526249623,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.166900455,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.294783059,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.155286517,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.71607627,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-6.730633783,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q3",4.671273845,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q4",2.707694561,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q1",2.85952716,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.605918386,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.729485006,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.46242475,
"EST","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.777853608,
"EST","QGDP","TOT","PC_CHGPP","Q","2022-Q2",-1.05175024,
"EST","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-1.091789905,
"EST","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-1.004297259,
"EST","QGDP","TOT","PC_CHGPP","Q","2023-Q1",-0.611931217,
"EST","QGDP","TOT","PC_CHGPP","Q","2023-Q2",-0.296460374,
"DNK","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.502598831,
"DNK","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.602133078,
"DNK","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.499343436,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.218151328,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.005162294,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.457313711,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.304142897,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.985289712,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-6.167225845,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q3",5.671760356,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.075382372,
"DNK","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.612552156,
"DNK","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.702363554,
"DNK","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.944194599,
"DNK","QGDP","TOT","PC_CHGPP","Q","2021-Q4",2.407830222,
"DNK","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.817038856,
"DNK","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.660915669,
"DNK","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.009385694,
"DNK","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.470474005,
"DNK","QGDP","TOT","PC_CHGPP","Q","2023-Q1",0.56353234,
"DNK","QGDP","TOT","PC_CHGPP","Q","2023-Q2",0.199981858,
"ESP","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.585880251,
"ESP","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.52041551,
"ESP","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.659258956,
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.608861527,
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.346200217,
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.295000101,
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.217169436,
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-5.48725517,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-17.826255917,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q3",16.637933629,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q4",-0.058975087,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.228663315,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.352205559,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q3",3.108188446,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q4",2.26529089,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.573839954,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2022-Q2",2.791828726,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.387178437,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.414004686,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2023-Q1",0.520072656,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2023-Q2",0.420518918,"P"
"JPN","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.33330216,
"JPN","QGDP","TOT","PC_CHGPP","Q","2018-Q3",-0.519834716,
"JPN","QGDP","TOT","PC_CHGPP","Q","2018-Q4",-0.133593998,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.205088027,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.355016925,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.203548756,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-2.745062089,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.388020523,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.85382221,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",5.625075278,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.924518285,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.251317714,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.530419062,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-0.401995663,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.105104862,
"JPN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.534690595,
"JPN","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.250568243,
"JPN","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-0.311244018,
"JPN","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.044362119,
"JPN","QGDP","TOT","PC_CHGPP","Q","2023-Q1",0.916380151,
"JPN","QGDP","TOT","PC_CHGPP","Q","2023-Q2",1.47777412,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.617571673,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.263610954,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.218797245,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.556388451,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.580853547,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.48829871,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.021381665,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.617056924,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-10.280349671,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q3",9.378943421,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.095318055,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.918700343,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.763409354,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.14006115,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.387273913,
"OECD","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.222322483,
"OECD","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.467942306,
"OECD","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.441415057,
"OECD","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.207196423,
"OECD","QGDP","TOT","PC_CHGPP","Q","2023-Q1",0.497283377,
"OECD","QGDP","TOT","PC_CHGPP","Q","2023-Q2",0.4,
"NOR","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.300808205,
"NOR","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.6300102,
"NOR","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.033674237,
"NOR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.443113704,
"NOR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.859924439,
"NOR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.568205142,
"NOR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.828953858,
"NOR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.316029175,
"NOR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-5.342636369,
"NOR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",4.264227535,
"NOR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.247431013,
"NOR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.341314443,
"NOR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.282167177,
"NOR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",3.244772437,
"NOR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.447454467,
"NOR","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.572922624,
"NOR","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.165815315,
"NOR","QGDP","TOT","PC_CHGPP","Q","2022-Q3",1.240325526,
"NOR","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-0.085476669,
"NOR","QGDP","TOT","PC_CHGPP","Q","2023-Q1",0.33566784,
"NOR","QGDP","TOT","PC_CHGPP","Q","2023-Q2",0.035855528,
"HUN","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.903708375,
"HUN","QGDP","TOT","PC_CHGPP","Q","2018-Q3",1.494804487,
"HUN","QGDP","TOT","PC_CHGPP","Q","2018-Q4",1.043904181,
"HUN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.95721666,
"HUN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.293932954,
"HUN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",1.427125351,
"HUN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.55856632,
"HUN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.400000038,
"HUN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-14.499999966,
"HUN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",11.800000001,
"HUN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.599999956,
"HUN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.10000004,
"HUN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.40000004,
"HUN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.399999929,
"HUN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",2.399999996,
"HUN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",1.50000006,
"HUN","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.800000004,
"HUN","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-1.000000021,
"HUN","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-0.60000001,
"HUN","QGDP","TOT","PC_CHGPP","Q","2023-Q1",-0.399999956,
"HUN","QGDP","TOT","PC_CHGPP","Q","2023-Q2",-0.300000005,
"CAN","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.785105341,
"CAN","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.690122507,
"CAN","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.340869542,
"CAN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.07075927,
"CAN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.988110124,
"CAN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.374026535,
"CAN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.326868383,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.128337649,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-10.928273391,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",9.017921364,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",2.130500855,
"CAN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.308902555,
"CAN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",-0.588596311,
"CAN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.430867107,
"CAN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.671567869,
"CAN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.64235529,
"CAN","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.896972509,
"CAN","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.558360181,
"CAN","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-0.037224634,
"CAN","QGDP","TOT","PC_CHGPP","Q","2023-Q1",0.778211363,
"CAN","QGDP","TOT","PC_CHGPP","Q","2023-Q2",0.3,
"SVN","QGDP","TOT","PC_CHGPP","Q","2018-Q2",1.330210134,
"SVN","QGDP","TOT","PC_CHGPP","Q","2018-Q3",1.369940225,
"SVN","QGDP","TOT","PC_CHGPP","Q","2018-Q4",1.201631171,
"SVN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.620001989,
"SVN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",-0.376670489,
"SVN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",1.649736459,
"SVN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.184951184,
"SVN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-4.691597387,
"SVN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-9.800753862,
"SVN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",13.004513335,
"SVN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",-1.253408569,
"SVN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.778404022,
"SVN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.890392747,
"SVN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.902131652,
"SVN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",3.401129616,
"SVN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",1.16375008,
"SVN","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.612437275,
"SVN","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-1.269412403,
"SVN","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.798187563,
"SVN","QGDP","TOT","PC_CHGPP","Q","2023-Q1",0.744497995,
"SVN","QGDP","TOT","PC_CHGPP","Q","2023-Q2",1.363298169,
"FIN","QGDP","TOT","PC_CHGPP","Q","2018-Q2",-0.11800553,
"FIN","QGDP","TOT","PC_CHGPP","Q","2018-Q3",-0.093457944,
"FIN","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.038830153,
"FIN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.649270453,
"FIN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.834399706,
"FIN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.078229578,
"FIN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.185867148,
"FIN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.227980717,
"FIN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-6.364904936,
"FIN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",5.001769714,
"FIN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.79303126,
"FIN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.022882087,
"FIN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.251187837,
"FIN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.049759285,
"FIN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.911577028,
"FIN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.028975133,
"FIN","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.359528353,
"FIN","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-0.178271278,
"FIN","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-0.505153587,
"FIN","QGDP","TOT","PC_CHGPP","Q","2023-Q1",0.418824897,
"FIN","QGDP","TOT","PC_CHGPP","Q","2023-Q2",0.680943788,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.651351507,
"NLD","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.118766163,
"NLD","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.487706795,
"NLD","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.826416375,
"NLD","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.297512296,
"NLD","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.213677408,
"NLD","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.572641066,
"NLD","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.327838614,
"NLD","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.348639597,
"NLD","QGDP","TOT","PC_CHGPP","Q","2020-Q3",6.376224562,
"NLD","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.634352785,
"NLD","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.224262986,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2021-Q2",3.086725669,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.914124475,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.798697174,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.517007219,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.84199198,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-0.185737239,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.86436159,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2023-Q1",-0.432351603,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2023-Q2",-0.314952389,"P"
"USA","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.697342921,
"USA","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.722035914,
"USA","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.181783198,
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.54271061,
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.67300894,
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.889966473,
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.443046894,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.175154201,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.484336154,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q3",7.854483117,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.963213279,
"USA","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.542791999,
"USA","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.707015905,
"USA","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.656694491,
"USA","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.69569402,
"USA","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.410338185,
"USA","QGDP","TOT","PC_CHGPP","Q","2022-Q2",-0.144633973,
"USA","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.801155209,
"USA","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.637397896,
"USA","QGDP","TOT","PC_CHGPP","Q","2023-Q1",0.496811816,
"USA","QGDP","TOT","PC_CHGPP","Q","2023-Q2",0.59818289,
"SVK","QGDP","TOT","PC_CHGPP","Q","2018-Q2",1.183224631,
"SVK","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.996153156,
"SVK","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.511311339,
"SVK","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.763414236,
"SVK","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.295614613,
"SVK","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.348261603,
"SVK","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.621735158,
"SVK","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-3.134956621,
"SVK","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.46027408,
"SVK","QGDP","TOT","PC_CHGPP","Q","2020-Q3",9.693983636,
